id,eblocal_id,dawa_id,change,geo_change,name,type,zip,population,longitude,latitude,municipality_id,municipality_name,created_at,updated_at
24,10431,12337669-e2df-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Bredemiste,by,5853,3,10.6619549,55.231922,450,Nyborg,2022-04-03 17:46:43,2022-04-06 09:55:36
25,10042,12337669-da1f-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2020-02-05T22:23:59.028Z,Greve Strand,by,2670,43346,12.31910042,55.59535341,253,Greve,2022-04-03 17:46:43,2022-04-06 09:51:44
27,10358,12337669-d021-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Næs,by,4970,3,11.32000716,54.72292739,360,Lolland,2022-04-03 17:46:43,2022-04-06 09:54:12
28,10358,12337669-d022-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Næsbæk,by,4970,6,11.36934118,54.69188237,360,Lolland,2022-04-03 17:46:43,2022-04-06 09:54:12
29,10360,12337669-d6a3-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Hjelm,by,4990,52,11.76320657,54.81887075,376,Guldborgsund,2022-04-03 17:46:43,2022-04-06 09:54:43
30,10343,12337669-d02d-6b98-e053-d480220a5a3f,2020-06-26T22:59:30.931Z,2018-09-19T16:01:57.739Z,Knubbeløkke,by,4900,20,11.04601068,54.76667481,360,Lolland,2022-04-03 17:46:43,2022-04-06 09:54:11
31,10330,12337669-d669-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Grønsund,by,4850,1,12.11964903,54.88579515,376,Guldborgsund,2022-04-03 17:46:43,2022-04-06 09:54:42
32,10343,12337669-d042-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Gammelby,by,4900,3,11.11574213,54.7700183,360,Lolland,2022-04-03 17:46:43,2022-04-06 09:54:11
33,10222,12337669-d13e-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Nyrup,by,4262,99,11.495837,55.22815782,370,Næstved,2022-04-03 17:46:43,2022-04-06 09:54:35
34,10311,12337669-d145-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Bistrup,by,4700,50,11.65475592,55.22366153,370,Næstved,2022-04-03 17:46:43,2022-04-06 09:54:34
35,10220,12337669-d16d-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Ting Jellinge,by,4261,31,11.46219015,55.29917609,370,Næstved,2022-04-03 17:46:43,2022-04-06 09:54:36
36,10219,12337669-d17d-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Oreby Huse,by,4261,6,11.39869042,55.24392832,330,Slagelse,2022-04-03 17:46:43,2022-04-06 09:53:41
37,10213,12337669-d18d-6b98-e053-d480220a5a3f,2020-06-26T22:59:30.931Z,2018-09-19T16:01:57.739Z,Bøgelunde,by,4243,77,11.42547864,55.23892483,330,Slagelse,2022-04-03 17:46:43,2022-04-06 09:53:41
38,10206,12337669-d19d-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Bjærup,by,4200,17,11.41175321,55.33571094,330,Slagelse,2022-04-03 17:46:43,2022-04-06 09:53:41
39,10265,12337669-d30c-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Snavhuse,by,4534,29,11.42380827,55.76744055,306,Odsherred,2022-04-03 17:46:43,2022-04-06 09:52:51
40,10339,12337669-cfc8-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Underup,by,4892,4,11.68385181,54.70073064,376,Guldborgsund,2022-04-03 17:46:43,2022-04-06 09:54:42
41,10267,12337669-d317-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Ingerby,by,4540,20,11.46732911,55.79658134,306,Odsherred,2022-04-03 17:46:43,2022-04-06 09:52:51
42,10234,12337669-d24a-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Billerup,by,4300,3,11.66538954,55.75717839,316,Holbæk,2022-04-03 17:46:43,2022-04-06 09:53:01
43,10265,12337669-d31c-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Sylager Næbbe,by,4534,5,11.47319446,55.74097525,306,Odsherred,2022-04-03 17:46:43,2022-04-06 09:52:51
44,10114,12337669-dccf-6b98-e053-d480220a5a3f,2020-06-26T22:59:30.931Z,2018-09-19T16:01:57.739Z,Lille Fjellenstrup,by,3250,8,12.28529802,56.11230907,270,Gribskov,2022-04-03 17:46:43,2022-04-06 09:52:31
45,10356,12337669-d0a6-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Rudbjerg Huse,by,4953,7,11.25395518,54.86191005,360,Lolland,2022-04-03 17:46:43,2022-04-06 09:54:13
46,10345,12337669-d084-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Tinghuse,by,4913,3,11.24721329,54.89933281,360,Lolland,2022-04-03 17:46:43,2022-04-06 09:54:13
47,10343,12337669-d0bb-6b98-e053-d480220a5a3f,2020-06-26T22:59:30.931Z,2018-09-19T16:01:57.739Z,Ore,by,4900,2,11.20979741,54.80257198,360,Lolland,2022-04-03 17:46:43,2022-04-06 09:54:11
48,10343,12337669-d0c2-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Sølvhuse,by,4900,5,11.19606625,54.85118432,360,Lolland,2022-04-03 17:46:43,2022-04-06 09:54:11
49,10343,12337669-d0cb-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Nakkehuse,by,4900,0,10.96547778,54.82876109,360,Lolland,2022-04-03 17:46:43,2022-04-06 09:54:11
50,10343,12337669-d0cc-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Lodshuse,by,4900,0,10.96265321,54.83554362,360,Lolland,2022-04-03 17:46:43,2022-04-06 09:54:11
51,10168,12337669-df81-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Salene,by,3760,0,14.94591999,55.20851748,400,Bornholm,2022-04-03 17:46:43,2022-04-06 09:48:44
52,10234,12337669-d259-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Mose,by,4300,2,11.70936199,55.7680031,316,Holbæk,2022-04-03 17:46:43,2022-04-06 09:53:01
53,10261,12337669-d3fd-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Halleby Hale,by,4490,4,11.31194768,55.5924526,326,Kalundborg,2022-04-03 17:46:43,2022-04-06 09:53:24
54,10835,12337669-bb2f-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Ilsø Mark,by,9240,4,9.62661548,56.92188625,851,Aalborg,2022-04-03 17:46:43,2022-04-06 08:55:37
55,10462,12337669-b341-6b98-e053-d480220a5a3f,2021-01-30T00:12:23.095Z,2021-01-30T00:12:23.095Z,Sønder Bjert,by,6091,2009,9.55692973,55.46091591,621,Kolding,2022-04-03 17:46:43,2022-04-06 09:57:42
57,10292,12337669-d864-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Kirkeskov,by,4652,4,12.13974951,55.37685118,336,Stevns,2022-04-03 17:46:43,2022-04-06 09:53:47
58,10301,12337669-d863-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Kanderød,by,4682,23,12.11357527,55.37549143,259,Køge,2022-04-03 17:46:43,2022-04-06 09:51:51
59,10764,12337669-b52d-6b98-e053-d480220a5a3f,2022-02-23T23:54:14.011Z,2022-02-23T23:54:14.011Z,Ry,by,8680,6886,9.77318277,56.08692239,746,Skanderborg,2022-04-03 17:46:43,2022-04-06 09:58:57
60,10843,12337669-cc61-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Mødholt,by,9310,4,10.05354845,57.10848141,851,Aalborg,2022-04-03 17:46:43,2022-04-06 08:55:38
61,10206,12337669-a1e4-6b98-e053-d480220a5a3f,2022-01-27T23:55:14.818Z,2022-01-27T23:55:14.818Z,Slagelse,by,4200,34118,11.34977077,55.40453744,330,Slagelse,2022-04-03 17:46:43,2022-04-06 09:53:41
62,10311,12337669-d10e-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Holløsebro,by,4700,8,11.69079766,55.29999471,370,Næstved,2022-04-03 17:46:43,2022-04-06 09:54:34
63,10843,12337669-cc62-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Nålebakke,by,9310,5,10.0563506,57.10110922,851,Aalborg,2022-04-03 17:46:43,2022-04-06 08:55:38
64,10765,12337669-b5f6-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Kannerup,by,8700,6,9.87632754,55.90079265,615,Horsens,2022-04-03 17:46:43,2022-04-06 09:57:33
65,10485,12337669-ad84-6b98-e053-d480220a5a3f,2019-08-13T22:08:18.787Z,2018-09-19T16:01:57.739Z,Rævehøj,by,6400,8,9.74103407,54.93987528,540,Sønderborg,2022-04-03 17:46:43,2022-04-06 09:56:33
66,10583,12337669-b62e-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Overhede,by,7160,4,9.47741265,55.88180855,766,Hedensted,2022-04-03 17:46:43,2022-04-06 09:59:06
67,10175,12337669-db9a-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Sluphuse,by,4000,3,11.95454552,55.66407695,350,Lejre,2022-04-03 17:46:43,2022-04-06 09:54:05
68,10753,12337669-b54f-6b98-e053-d480220a5a3f,2019-08-13T22:08:18.787Z,2018-09-19T16:01:57.739Z,Lyngkrog,by,8653,5,9.59097158,56.0915411,740,Silkeborg,2022-04-03 17:46:43,2022-04-06 09:58:51
69,10764,12337669-b557-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Bøgedal,by,8680,4,9.66766418,56.10532529,746,Skanderborg,2022-04-03 17:46:43,2022-04-06 09:58:57
70,10772,12337669-b568-6b98-e053-d480220a5a3f,2020-06-26T22:59:30.931Z,2018-09-19T16:01:57.739Z,Løndal,by,8740,11,9.58551544,56.05246368,615,Horsens,2022-04-03 17:46:43,2022-04-06 09:57:33
71,10772,12337669-b57a-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Vænghuse,by,8740,4,9.65772626,56.03782761,615,Horsens,2022-04-03 17:46:43,2022-04-06 09:57:33
72,10755,12337669-b567-6b98-e053-d480220a5a3f,2020-06-26T22:59:30.931Z,2018-09-19T16:01:57.739Z,Lykkensspil,by,8654,6,9.50436149,56.01741913,740,Silkeborg,2022-04-03 17:46:43,2022-04-06 09:58:51
73,10407,12337669-e2e8-6b98-e053-d480220a5a3f,2019-08-13T22:08:18.787Z,2018-09-19T16:01:57.739Z,Agermose,by,5600,9,10.29677658,55.09662456,430,Faaborg-Midtfyn,2022-04-03 17:46:43,2022-04-06 09:55:22
74,10709,12337669-c85f-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Præstegårdsmark,by,8400,5,10.69265632,56.30621223,706,Syddjurs,2022-04-03 17:46:43,2022-04-06 09:58:17
